f(Hz), Y
4.64565e+14, 0.962383
4.64585e+14, 0.967084
4.64605e+14, 0.972117
4.64625e+14, 0.979971
4.64645e+14, 0.990655
4.64665e+14, 1.00168
4.64685e+14, 1.01055
4.64705e+14, 1.01724
4.64725e+14, 1.0243
4.64745e+14, 1.03431
4.64765e+14, 1.04731
4.64785e+14, 1.06078
4.64805e+14, 1.07213
4.64825e+14, 1.08133
4.64845e+14, 1.09095
4.64865e+14, 1.10366
4.64885e+14, 1.11958
4.64905e+14, 1.13612
4.64925e+14, 1.15063
4.64945e+14, 1.16301
4.64965e+14, 1.17592
4.64985e+14, 1.19212
4.65005e+14, 1.21177
4.65025e+14, 1.23225
4.65045e+14, 1.25081
4.65065e+14, 1.26734
4.65085e+14, 1.28453
4.65105e+14, 1.30527
4.65125e+14, 1.32977
4.65145e+14, 1.35536
4.65165e+14, 1.37922
4.65185e+14, 1.4012
4.65205e+14, 1.42405
4.65225e+14, 1.45077
4.65245e+14, 1.48163
4.65265e+14, 1.51394
4.65285e+14, 1.54478
4.65305e+14, 1.57395
4.65325e+14, 1.6043
4.65345e+14, 1.63892
4.65365e+14, 1.67817
4.65385e+14, 1.71931
4.65405e+14, 1.75931
4.65425e+14, 1.79796
4.65445e+14, 1.83814
4.65465e+14, 1.88311
4.65485e+14, 1.93326
4.65506e+14, 1.98581
4.65526e+14, 2.03762
4.65546e+14, 2.0884
4.65566e+14, 2.14112
4.65586e+14, 2.19911
4.65606e+14, 2.26282
4.65626e+14, 2.32937
4.65646e+14, 2.39547
4.65666e+14, 2.46072
4.65686e+14, 2.52806
4.65706e+14, 2.6009
4.65726e+14, 2.67963
4.65746e+14, 2.7612
4.65766e+14, 2.84203
4.65786e+14, 2.92148
4.65806e+14, 3.00237
4.65826e+14, 3.08801
4.65846e+14, 3.1786
4.65866e+14, 3.27072
4.65886e+14, 3.36031
4.65906e+14, 3.44633
4.65926e+14, 3.5313
4.65946e+14, 3.61822
4.65966e+14, 3.70698
4.65986e+14, 3.79366
4.66006e+14, 3.87365
4.66026e+14, 3.94545
4.66046e+14, 4.01133
4.66066e+14, 4.07418
4.66086e+14, 4.13379
4.66106e+14, 4.18609
4.66126e+14, 4.22639
4.66146e+14, 4.2533
4.66166e+14, 4.26951
4.66186e+14, 4.27863
4.66206e+14, 4.28114
4.66226e+14, 4.27368
4.66246e+14, 4.25228
4.66266e+14, 4.21646
4.66286e+14, 4.16999
4.66306e+14, 4.11766
4.66326e+14, 4.06101
4.66346e+14, 3.9975
4.66366e+14, 3.92376
4.66386e+14, 3.83985
4.66406e+14, 3.75018
4.66426e+14, 3.66003
4.66446e+14, 3.57126
4.66466e+14, 3.48126
4.66486e+14, 3.38637
4.66507e+14, 3.28636
4.66527e+14, 3.18544
4.66547e+14, 3.08873
4.66567e+14, 2.99778
4.66587e+14, 2.90942
4.66607e+14, 2.81935
4.66627e+14, 2.72677
4.66647e+14, 2.63556
4.66667e+14, 2.55067
4.66687e+14, 2.47336
4.66707e+14, 2.40001
4.66727e+14, 2.32579
4.66747e+14, 2.2495
4.66767e+14, 2.17492
4.66787e+14, 2.10701
4.66807e+14, 2.047
4.66827e+14, 1.99099
4.66847e+14, 1.93377
4.66867e+14, 1.87395
4.66887e+14, 1.81533
4.66907e+14, 1.7631
4.66927e+14, 1.71855
4.66947e+14, 1.67763
4.66967e+14, 1.63483
4.66987e+14, 1.58861
4.67007e+14, 1.54291
4.67027e+14, 1.5032
4.67047e+14, 1.47092
4.67067e+14, 1.44189
4.67087e+14, 1.41031
4.67107e+14, 1.3745
4.67127e+14, 1.33857
4.67147e+14, 1.30833
4.67167e+14, 1.2854
4.67187e+14, 1.26544
4.67207e+14, 1.24234
4.67227e+14, 1.21429
4.67247e+14, 1.18558
4.67267e+14, 1.16238
4.67287e+14, 1.14651
4.67307e+14, 1.13347
4.67327e+14, 1.11679
4.67347e+14, 1.09449
4.67367e+14, 1.07108
4.67387e+14, 1.05314
4.67407e+14, 1.04268
4.67427e+14, 1.03501
4.67447e+14, 1.02327
4.67467e+14, 1.00529
4.67487e+14, 0.98581
4.67508e+14, 0.971847
4.67528e+14, 0.965643
4.67548e+14, 0.962282
4.67568e+14, 0.954465
4.67588e+14, 0.939787
4.67608e+14, 0.923254
4.67628e+14, 0.912379
4.67648e+14, 0.909657
4.67668e+14, 0.909916
4.67688e+14, 0.905338
4.67708e+14, 0.893271
4.67728e+14, 0.879007
