N	Rate for 1 dev (ebits/s)  Rate for 2 devs (ebits/s)  Maximum rate (ebits/s)
24	409.068040354241	353.454954243189	409.068040354241
48	947.077676951368	830.108960549001	947.077676951368
72	1501.29167494395	1326.43908869984	1501.29167494395
96	2058.78659090571	1830.33739800321	2058.78659090571
120	2614.70226494817	2337.27196817349	2614.70226494817
144	3166.57877513831	2844.94923366188	3166.57877513831
168	3712.96942402738	3352.01712603040	3712.96942402738
192	4252.94123776071	3857.59960881191	4252.94123776071
216	4785.85392622790	4361.09115336277	4785.85392622790
240	5311.24815788186	4862.05302792826	5311.24815788186
264	5828.78351547046	5360.15577831886	5828.78351547046
288	6338.20152363833	5855.14498602030	6338.20152363833
312	6839.30237212762	6346.81972570501	6839.30237212762
336	7331.92960071869	6835.01839699636	7331.92960071869
360	7815.95965152689	7319.60905974285	7815.95965152689
384	8291.29452332921	7800.48263666816	8291.29452332921
408	8757.85647326828	8277.54800682531	8757.85647326828
432	9215.58411081702	8750.72838377220	9215.58411081702
456	9664.42946324680	9219.95858953453	9664.42946324680
480	10104.3557344232	9685.18296743598	10104.3557344232
504	10535.3355682925	10146.3537597196	10535.3355682925
528	10957.3496862412	10603.4298293423	10957.3496862412
552	11370.3858057757	11056.3756406844	11370.3858057757
576	11774.4377738607	11505.1604378228	11774.4377738607
600	12169.5048661180	11949.7575755018	12169.5048661180
624	12555.5912156372	12390.1439695131	12555.5912156372
648	12932.7053441091	12826.2996414504	12932.7053441091
672	13300.8597744807	13258.2073387877	13300.8597744807
696	13660.0707091003	13685.8522156173	13685.8522156173
720	14010.3577608643	14109.2215626426	14109.2215626426
744	14351.7437275396	14528.3045774781	14528.3045774781
768	14684.2544014667	14943.0921681640	14943.0921681640
792	15007.9184084017	15353.5767842379	15353.5767842379
816	15322.7670704568	15759.7522708070	15759.7522708070
840	15628.8342890493	16161.6137419333	16161.6137419333
864	15926.1564445017	16559.1574703177	16559.1574703177
888	16214.7723095321	16952.3807908158	16952.3807908158
912	16494.7229743393	17341.2820157413	17341.2820157413
936	16766.0517813715	17725.8603602638	17725.8603602638
960	17028.8042681710	18106.1158764872	18106.1158764872
984	17283.0281169402	18482.0493950215	18482.0493950215
1008	17528.7731096787	18853.6624730478	18853.6624730478
1032	17766.0910879139	19220.9573480299	19220.9573480299
1056	17995.0359161838	19583.9368963528	19583.9368963528
1080	18215.6634485531	19942.6045962752	19942.6045962752
1104	18428.0314975414	20296.9644946649	20296.9644946649
1128	18632.1998049243	20647.0211770703	20647.0211770703
1152	18828.2300139393	20992.7797407321	20992.7797407321
1176	19016.1856424928	21334.2457702001	21334.2457702001
1200	19196.1320570113	21671.4253152579	21696.2274781628
1224	19368.1364466276	22004.3248709029	22068.9807465394
1248	19532.2677974331	22332.9513591539	22438.9253487235
1272	19688.5968665567	22657.3121124929	22806.0614339938
1296	19837.1961558676	22977.4148587675	23170.3894163257
1320	19978.1398851197	23293.2677073998	23531.9099605068
1344	20111.5039643806	23604.8791367718	23890.6239693921
1368	20237.3659656138	23912.2579826652	24246.5325721928
1392	20355.8050932927	24215.4134276490	24599.6371136940
1416	20466.9021539501	24514.3549913260	24949.9391443186
1440	20570.7395245808	24809.0925213472	25297.4404109545
1464	20667.4011198231	25099.6361851267	25642.1428484782
1488	20756.9723578687	25385.9964621837	25984.0485719100
1512	20839.5401250510	25668.1841370569	26323.1598691473
1536	20915.1927390839	25946.2102927321	26659.4791942214
1560	20984.0199109220	26220.0863045386	26993.0091610380
1584	21046.1127052354	26489.8238344688	27323.7525375550
1608	21101.5634994893	26755.4348258803	27651.7122403660
1632	21150.4659416350	27016.9314985460	27976.8913296518
1656	21192.9149064238	27274.3263440204	28299.2930044722
1680	21229.0064503626	27527.6321212897	28638.1550005267
1704	21258.8377653368	27776.8618526816	28981.9253455541
1728	21282.5071309346	28022.0288200095	29323.6349671890
1752	21300.1138655085	28263.1465609263	29663.2848764426
1776	21311.7582760226	28500.2288654739	30000.8761721327
1800	21317.5416067296	28733.2897728004	30336.4100377438
1824	21317.5659867372	28962.3435680376	30669.8877384770
1848	21311.9343765192	29187.4047793152	31001.3106184748
1872	21300.7505134365	29408.4881749022	31330.6800982104
1896	21284.1188563361	29625.6087604609	31657.9976720261
1920	21262.1445292938	29838.7817764013	31983.2649058157
1944	21234.9332645811	30048.0226953236	32306.4834348368
1968	21202.5913449293	30253.3472195419	32627.6549616441
1992	21165.2255451697	30454.7712786746	32946.7812541392
2016	21122.9430733337	30652.3110272978	33263.8641437260
2040	21075.8515112944	30845.9828426507	33578.9055235662
2064	21024.0587550362	31035.8033223853	33891.9073469251
2088	20967.6729546381	31221.7892823566	34202.8716256087
2112	20906.8024540579	31403.9577544418	34511.8004284798
2136	20841.5557308059	31582.3259843882	34818.6958800504
2160	20772.0413355964	31756.9114296812	35146.6650913715
2184	20698.3678320661	31927.7317574257	35426.3954976388
2208	20620.6437366462	32094.8048422419	35727.2041792395
2232	20538.9774586785	32258.1487641660	36080.7152067324
2256	20453.4772408612	32417.7818065520	36338.3689833669
2280	20364.2511001105	32573.7224539755	36746.0733549559
2304	20271.4067689247	32725.9893901313	37000.7833085598
2328	20175.0516373316	32874.6014957237	37254.2271105304
2352	20075.2926955048	33019.5778463461	37656.3910474869
2376	19972.2364771241	33160.9377103489	37906.8968313087
2400	19865.9890035633	33298.7005466880	38305.2032623895
2424	19756.6557289748	33432.8860027617	38552.7755420096
2448	19644.3414863491	33563.5139122217	38826.0858751892
2472	19529.1504346169	33690.6042927648	39191.8751406682
